wallet,token,roi_percent,realized_sol,cost_basis_sol,avg_buy_price,status,buy_signatures,sell_signatures
HN9gNkAVw8mMoFuK9CcCJ6jfMjHZLUEsowTMbB4ppkwb,YN4U8xySzuyARUMTNCpMgkkek7nnh2VAkUMdMygpump,361.67,14.298,3.097,6.545e-07,Sold,4X8iTgY1MzuKxJHAiqotM9jFZQeSnqxSXZg3nvh12HpeeeqYoGgkiFNh9kM5U5saBHBcLRcyD9C1DD7N9XDtBYT2,2pgNdJrK44ZNP6HmXVZ8a3BLoYKduvBkQFU75KWBpNGcrDuqdBmBTZHrTGKPueUrr97kcmgmhzQxjbLS8gQsEPKJ
G3bjnmhpF29bNs6FxsN2c7HTrQUdgxrehNMmb9CKHaq5,YN4U8xySzuyARUMTNCpMgkkek7nnh2VAkUMdMygpump,5.04,2.145,4.082,1.1287e-06,"Partially sold, holding 635728.034 tokens","53ixua1kKHPhacgP3pLE29emXTT5WkTb3KE4DWzDyxGLKePTsigEnJJ9AGtmr3qGTaN9N6j7No2xnEafQGCid4Ky, 2povLKaD7nuTPvriKGts7kpVj4bwpWt869S8e6VwUcVgAuAy49c1kntRY4A6ZbjiZJjHToL3pczJdPdwTpx3B25t",3DoWMkVAtuKbhJrt9TXiipRkJ4pSsEDuvSLuMmnTk4hRhuFy37dGX6Ng3KV2bFJZxQEyGsnJMaMtdgnzDAXngNrM
drfoyZitRiJtNeHMW7Nre3fWoSnkmB44RNCji9p66EE,YN4U8xySzuyARUMTNCpMgkkek7nnh2VAkUMdMygpump,25.55,2.1288,1.6956,7.626e-07,Sold,27r2Qa45RWGUZBEW5arD6iVEoTE54tTNdGK2jCJJm7Sm2gcNaofnc7ow4JgR5qbTjPmdBqvoRnMtKaQHLueZiEEv,SivbVh8ZCDE6Rj62YZyGtg6XYmKaJof83oSLXWFMJaLDxSxFKGfRGqfTsXbac2rxA6G6ymsXyZ7fnFaCxtdKk8y
CDh5o4X2d8PtLqNNKeX2LweJAXcYGmrm4TCCea1nezJ,YN4U8xySzuyARUMTNCpMgkkek7nnh2VAkUMdMygpump,23.33,1.7371,1.4085,7.878e-07,Sold,avcP6V8wyee6L3AZdKy4Qz8BfwaQRs4Gx6SYSdH6NtY2zzPeaY8bdUA6b8VeZeHZgvAfzHD44pGbUmAD71igcc9,4jE8JDmumqJQUJNkzbhu62iLYFGxwsCggq6PK7dQuhrknV3RmSYMewFPeea2E71x2oqV6D58SBHb7YmXZe9bU8eR
D4temE21W6Ede5QZWxjuqN8jURq7AJUk2NhPPC5qRyK8,YN4U8xySzuyARUMTNCpMgkkek7nnh2VAkUMdMygpump,271.24,5.487,1.478,7.306e-07,Sold,4dyJQPZeZYRDp8Q8vMKiAPBqa36bFeZMsMmNU6PZUPZa532q4ZrxYCW5npZHfhGaU8GMnvpUKj1ywvUhByytmVTZ,"4DchrCNicUrqu2arjQMAZBRtqPqR1UgD7bhowcfd87XA4Ft1HgMv8YgSXQMRV3JwSKcASFJD2J2GwdKzV72fqvjJ, 5EvFpizNxzX5iRC4hFk9du4NFthApC2wThpgH5VKFeLTKsqZxaDMkU9jGkQRmHzwc4Q6hSFD2h69qPkHbmyTYK16"
CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o,2KdMNf6tEQ9MWjvDFk9jKtcuTjKoipibCTqB9vtBpump,161.05,16.3296,13.73,1.164e-07,"Partially sold, holding 33585758.6585 tokens","373KLQWQ1ySbp5qRXQYxoKp21ZjdhQnczUfhtQP9TKr245CBsRphC7x7na9gFnxGYsZjayDvQyzL5PkM935GbM5K, 3ywiL6gbwbjh4UjvihyAu87AbMiQvj5xYaZeeq6DoybtHPPhPzSooAGE65enNc82rBoscbLkphwjMcqKhi6GfK6T, 5Gbr37vBFp67qnsSCnKJNyoejnNr4n4jR4nN1Gm3FDCLqT3hg8tpbLsqoe6LLRHcb3xNVdusGyM3tFUWFWWRsUxP, 3a7vW8oMfKPfCa3cRkoUGaJ8Mv8sEwQUiVnhknGbnSR3vvx3HLyC8XjBdrMiYZLHfJKYhw6VeYE4jBcvDchAKTAy, 47PgTMvB5e6dwmWJocXYWdd89bg6dhQpoodf4KeDdPmFAgqotYUAxrLVfe6Wefgp8VodzmKnop7bfeAPwTRD6Nqi","2NKqcfMAEGWnbd3ZztLmPwfxhUVHC1mWru3uv2nhPiQsyMEeQ2SoBrZAujbxjBQQ9dPqJL1MGRsVhSXfVKjmjZGR, 3nh2MPLttdS3ZWSesmtPDFFv6fnpVxYUeBmR1grmxptX2h4hSWQb6DAYXrv83Rk5qsWbxbbQTeUUkr93Ras5SKkP, 3U8KKNU2tySjC6MZiC47zmGZtuyfbQq7w1iFFSgu13DN5VgcMzH1SE3HJB4aQZ3GiMVUX7fNBKWqeVQKxJM17zyg, 4qiZGqgCzGEoysSXtkbhVrk42H7X7vEGoC1skXoe9PpShJg26JiG8ssgBMarushgGzeEXKgqCizMY2BtkcdmYiqA"
A5uxHmjTVyBd1Aj4BFUAekujpPjaWnCrLSRJhjAyvjH4,2KdMNf6tEQ9MWjvDFk9jKtcuTjKoipibCTqB9vtBpump,-16.71,1.7008,2.042,5.32e-08,Sold,2infYmxDxtZrzdcXXT58q3tAV19PVhB8VnLSuLhfkptDuutSbLXoUqxbeGqd559g9JAVXMqyvvpdRCY7WEx6Gd6C,A1poi54oaKdJ2aiPA9UAzBY3egSD3GXRobD6HLaMCbQpyuL6wumiFPPVJ72hu1XHJoe97RMRArtkTKbmxbTx3ob
G2bGDsp2r43LfzzXbmPkcSnV2zTpqzG6QwVwUFZ81T79,2KdMNf6tEQ9MWjvDFk9jKtcuTjKoipibCTqB9vtBpump,126.08,11.3179,5.006,6.82e-08,Sold,"cyCSDnDxvVnhCsbXjwQK3KgDv7aZ2v9YgUS6f29eJ9M64FTB6EBfzaxFYYEU5kp6PBerfBDkYcW7KsVEmuWzdw4, 2DLNRvU5rD1uhj2puFEwGx9dsQPATELXGr8U7zN8Psqj1Lvu4PY56iikEk28YZJ4PirJM5Kkxk9y2fPZr6gPaQvg","qADfQzvo1CgVN5HGvQwACFGUVZQhHhNjAZEDpCdHLAQLMGgYDoUgydmBnBtGyDn4Tazpg8xCxKKeUSbVFuvA4uR, M48Qt5fHFudsHHYcxrsb7Rc5jAPuCq3Rv6Xd2JvEAdkKsgWkh66K7XfjUFgpgNFzwbrE4WZMTem1fpLKyjWni63, 4vgKWKLRLAgE1xpyWUUwW75uh2a1Auawnor5WwSyAMSp4apvE4kkCdamGwcYq3HqHD1U2AkuXt7cWbVJixiivFZN, 4B3uzJ4tGyxzRgaZd2h3uCd5o6LVbyaYbGWA8vnHhQ1aGN1yW71dKrSozkFSqRTH8XREFrQfp1Vg228yZnGUuDbq, 3XwySC9ecsbNZDr6UBEp6baYJK55MZcPubZheNuyByfvKxBeoNoXvAd3gf7XWbWNwcHz9mpMybbJV2XxthkLgPB3, 5STNPqCyCdTr9hT6SJ7coDjvaBzgDz7ftDQz9XJ4MJucDpaKReU7em6gYUc2U9ZU3WacAGntSdvUURR4av2XpcoU, 2rjaKFavNHeKDPMFX6Ybxc8U9xigUBXZEnkyEwqbFEQwZdwVorZYVQjtTHyKrA7oj6dxf7vT6A12t19YyyVePETC, 3QBhzubrGuQCBuR2y6WWDDZRrkWnqJNrnoaStfH3YTL6PG1hBL7FHbNgTzo8AAteH92dGCXMpizYFMa2RYtSshwh, 2Wsbmie9F7bVPiVfCoTEYCerxeh1rbPVdPHBaL2QFc3ho5HHMRCtUbXyaq4Ee8sqNDsQg21ZQyDRD55Ac5EG98Yp, 3KeN5aVuTkS9ypGym1zKsDKt6nkFGXcCHSGEttjoRJJmS9N27K8BGRGxn8a2CtfDqAwVozJF2u2uAfgfCefA4ZEB, 2cMgJETREtHHcL1z9kDP8FMRsUzDk6Naj7fwusV2DHHuPeegisQYMLasqiseRCVGRcjQrF9jjat6UdSZv9ABpZin"
BNHsrnuv72vo91szVHnahB2eGYXPMcxWdFyPC4Xge4Fk,2KdMNf6tEQ9MWjvDFk9jKtcuTjKoipibCTqB9vtBpump,132.01,6.223,2.6823,6.22e-08,Sold,"De97VshixZFRQeh6jBbQ33xo26qJLGmRZZuDjcigZx5XobCYTjBmp9g8qdooC7CJXWV59WsNDHYMfLeEdiX9Ekq, 2SErVRRhxja1ubyJbmpj9nVLcnH6nhzvvXnougtgyzYyGuHPNLF9VixnPoE41a2awABkoAuJUEdTSvmRbi2KNR2e","4RF6uoJXqsr9aMJnVYJRq31EcSWN2NhYApfr1wTyzHZaDLo5BZ3VUphsUcxziJqEBYWijkNFrRp5dGq1mbgNKx2J, 3eztMcu4w1DAWQdvByhEAKTj22hNH44QnCMihrfYmZVx1xjvzJEXi9pTzbv9mLnbFLuJSioaM37uiyHXZQjE4bJU"
JEETbvrmZSikiHGgU9AMXBtjTSkEzPNJJjpEYA5Xy2Td,2KdMNf6tEQ9MWjvDFk9jKtcuTjKoipibCTqB9vtBpump,2.4,2.0521,2.004,4.83e-08,Sold,5yxhCjg4yoNSsUrhKkcj2y4gPV4gmBu9kGrTnYkZyqeypNhTViKwAECAJUgcAEDdES7eX8V9oiUxtKPkaT2AcuvJ,4RuFm4kGPLwh7rGzoBHgx5QCdRQszMosCmACJpMZgDmijAVFSAYCi4m2gBAJ5a9bGMjrtP4t6kXzS3NT62ExQjdQ
