wallet,token,roi_percent,realized_sol,cost_basis_sol,avg_buy_price,status,buy_signatures,sell_signatures
dqiRCEYEGuzA8LDZKuS3qJEoN4cEdyJhzSvomQYRdhY,GSdtu9Nm7kZ1x8ddtisXFthzxFM5CmuMrSnBFfnHokm6,,0.0,5.0141,3.252e-07,Holding 15418171.9631 tokens,jLMxnCDDJmpHDuuaqmbFCy4rvNiHrLkjxLpSgMrwT8ooRvkjAraVNS8ycaa1XqPxktNbYUYVktBjEQcUZdP4sKR,
HkQjaCz5XtTuB38ft9A1unwdotbEaxEb1qjGf7FZCBuX,GSdtu9Nm7kZ1x8ddtisXFthzxFM5CmuMrSnBFfnHokm6,439.45,4.6847,1.8032,3.534e-07,"Partially sold, holding 2645409.6298 tokens",s2cnJ7qmjXgvUtV1eX7zYwqUBDEKx7V8SfCyAP7RBRjAJNf5SqrJJ64zaHwsbzpVLWqPVP1SPGSZuMZoq1jErC2,"LTWyE44hVg6yfZLUcbgvbpwKenQ5VyeTSxg3K1kW1D8fHoHBb2Jh7kxFffRafVQPq5Et2UhFNyQrphkZBWc8DZp, 2xQh4inzbJpasNDXWniZH9J9CPaXwTsYTbTPPAr7MaMc9Zf9dJzjTXSLs5JoKcSevACSjs3qxQaX8xsEaupm5Fpr, ePauiCxcCVtJVcQePZZqw42CgTJFMweM4iLYU2jW3RSjwXCd4yga2LK2MsvJsocJE9zxjNGRzpg17KxrupaokJ8, 3cv9JcbWastpXyNoRHtqEPaZ35RaDeDrDgQmoidNt8cFa7e4S6h9AM4nDMJV1LSCV2gVbBpsUb6tHdJ3Ph8TrZ9D"
2nMs6nAudRoSX8YzgaFR7hs1XGStAPZh6tKPjqgLnjYi,GSdtu9Nm7kZ1x8ddtisXFthzxFM5CmuMrSnBFfnHokm6,416.2,4.4827,1.8032,3.69e-07,"Partially sold, holding 2533369.5121 tokens",3nHxGSejUQamWVC7Jgo8YKHt7HcRYjBPtP7dipWf6EKk5aoz1rkhmaqvnQpaVqdP63zTEs1mjpZPenZJ8VENQjaU,"44nyJtR4w8dPeHGmDikdBqA82BaahQ9nMktxLP9KEQa8zyPNBSGt41M58MBBWCLrQLuQkemrKhvAXZTmtyQSqBSB, FsujN6X9juAxUVTfnUSkrSqPVzsVmdG5LeuiNtf6jpuGmQkS6cYEmxkokAmHcJDBJyHdFyScH4vo1SZByjzCAFG, 5VEr6YTvbXjdA6ScvWm4BQE9HqC4a2NtHybjbjSdNnBMop4k1yFCp4fgfeFWX4hL6DenxejymVLLeE7HnrBgUUMC, 2YRTyAhmKzrnT58VcxULPLhPa76JzHMyYTdoCN7ENXxS86p4g4WVPHBTJL5kc56hfg6vwUZkfYeUzhh5pS1W2JT7"
HBmLyosMB7ScgyBaaRBThkreHHLsrqnL2XApGHsNMhkL,GSdtu9Nm7kZ1x8ddtisXFthzxFM5CmuMrSnBFfnHokm6,396.49,4.3116,1.8032,3.831e-07,"Partially sold, holding 2439801.0414 tokens",vmXQ96Q8R6AwTK5mA14zGMipqVj3VMoWQ6YYPi5adSnqL3EaUCxMKZdtqTuquUDsPB5i5jseSisBAQ94fqg7zov,"3Nc5pVsjAZbKFcXUFxgvphzocRJiEucDxs1HLRpU5gn6YYJf382XPp8VMG35dDog3ceNdtw6gMbwbZaF6ZwbfJQX, 31KTFN84VVZvdbjJU6eTS1QFVHvCL4PMjnZdLLCJy2UWTeXESv1MrQAKRvfw2MkGPTBpmDBXdCaQM7G6fNuDJarc, 23UTzjLzKWqT6Zn1ebSJYaiTUhg1ii2Y7Fe5uPhz6BxWZAKcodDc3ZLns1MtLkZhJXejAiwxUR56RNQDbuko67Cn, JZ4kL4vzoC2eSrFuNDqDimB1hnjmSDkAMnU4L9AevkoURLWQGR9CmmMzHYf1v8Yf7QefpFuBnatkmKiPUFxWv5w"
2in7WAjeoKHtoj5VTeP9FgHWcTJxXEAZZz7apzuGVSXA,GSdtu9Nm7kZ1x8ddtisXFthzxFM5CmuMrSnBFfnHokm6,367.83,4.0627,1.8032,3.976e-07,"Partially sold, holding 2351322.4177 tokens",2NBedXV1xuL2JdJWtjQmDdrwZJxwpgCkRm6p6QzbupNZX8CUrQHrZxk1bDBFNkULyA3pKvVESLGkQukmqfeeumfd,"3SQPRajmYYRAjibRXP3xFZFmPM7TmiHpPyuCTJBBwALaNZ1mSHzttFYawQjzfJippoZJMKi2gsW1XP73Jj2pD2sT, 2k43nBo1VdDMoNUUvqkA9HpqE7HeAxFAX3p4bXrtRnfc9i9EEfJoovpUJnCbjvCqmmAKaXeryE8hammqPJoHJ1d, 2kWNqcDPMpFs3xaUfEW1ceudhYnkFEhoihHfkcmSyEZV2zGAHzSt7D3N9kqZMDrSeNhTn1sF8REg1LFxCDJ7n1xH, 4y6fFeTT7XfmtG1Vbge2R9XdE4CwHRbPNSZY2JDJsrPdDmt7rBoxyUqSa8hW8WzgEPmyN3wru97KucjavbLVf6to"
CqsY14Kt1N6HzA4npkqLZ7sxS6JYyp6EewdagYz8Y9Tv,EZnKmc92jKNw1QKpLgMWdP2BP2NqFyz7B2VAzvnzbonk,17.61,1.7843,1.517,4.281e-07,Sold,2tJEXhMNKLqmW9PxMxkPnJ4ZPUKYSWAWcVnX5shsjwuBFB6mww8aCxBME1uFV2wYHM7pDXMTARVLu9DKCVZnTHFz,2AwwVLiLDhJ1X9H21keQzbbVvvfPhHob5SerAMepFnwqLmZyNN8ekLe6P1JawCFMHUt1umtkiTn6rKN25ZQgQWt
28R2qAEGfk3KoKmX6G9JuyPPS6RFMTWJFpGga29aqS4Z,EZnKmc92jKNw1QKpLgMWdP2BP2NqFyz7B2VAzvnzbonk,-17.4,3.7218,4.506,5.143e-07,Sold,"4Nhk6eg1yuGJcr2o7oxGCGuMiHjjVhvvYerzVF5xyMS3sgjhx7zggYTFvmNQAxwaHG5m8oZgJj8rC7vCrDnPsugK, 2L88MNMfYVQF6DKVXDp4yZqWw1dK8G6ndYm4dhnBUYTMjsGXDSxbd3YmHU7p53MiuHeFQ6C1vj4WoYMYdADeT94L, 4ik7TiCbxnNnkhWwUDVMYwSsWADLqcEHbLK9kzP8rR6gF3iZmiWHytVSCLem5shebuz1NRZkHanbgdqJPhBtpJ4o","2gC1gy1prkivuo2KTgBaCSAkfBCmtc6vdQ1bMYVwbqEANJn76jfGmkAtiQAGCTaezkEFodpA7r81qxuK1VWinuP2, 4WPqHnt8KEyB1AJMgHNuPazbCK4txqMHVgumg28QZzuMumw7ZJPrS3XKdzdvfAAQ7rdsGgs9mWXog54yc9nF1puV"
2hJiWMsiNvsFeR4GocUxpBaY2uVEarUGWHx7NQuv2XYj,EZnKmc92jKNw1QKpLgMWdP2BP2NqFyz7B2VAzvnzbonk,-21.29,4.7636,6.0519,5.096e-07,Sold,"4xz4Fwk9MbYGVLDh7ChziUr28RzBkMw57M6XtxZ7gimvhdaZkVPB1F3oth33h6LnaNoNR47YSyRdYcgTbsg25zBi, 2HeQswJCsKexUbrkDAfRaA9q7vigZvDmWMWjc6csYrnxNVHNE8JkKKmwPE3Hi3Q1MRBMwHYeizoJ5Qzyz21Wn6jx, 3YyUZ4SEsbyMjeomKyv6T6TbHbEV2eeSgffhUswhFhAH1wYYJKLb34xoqfSHKGgnhCnrd4enYjZmjCNUpCqfFS8W, 2CL89kCnor5ZN7K3d8Kg6watPRw2Bg3wxApBsNQ2Q77RqfupmaRZU8DynZdz3QcCJ46fhuYwmNXGYJ41DJ1ZvXi6, 5DMqfHFxq5pe2PSo9mK2GgWs3P3fjt7jL2gTT2caZYZF8kACfzH855PY6u5b3J89xhXRBfLdKXVQpHtbHmHgFcBw, nnKMBGQZyQJdMjM1Rxz9CAKwYUp9vNirSqAysPYDrWdXufB29GsQQ9BQiwsB34M9sYhKU4xzrbiM4kcFFi7fzxa, 3QrXhcEkcuaw3mPE9hLhkd22Ko9GEvcLFoZLsGgMqnyRWMgEjt4aD4t88ThBPALrSoZjHu2R9VaswVwPGfm6oYHC, 5qWchtbnEGhbCA3qkDGvcJD2cozZg8v6KWTfvPknTQo2j1Fm8HDXhTL67Dbpx1ML98p8tihzZstyi3G8VsjoyYBC","mjGgNrQdV1Fo7MvvsHNh3r6Z5mSeGLfuBxiP15sSXJq3v57YZw6nQDjqhjXUmrvN8QE6kjUSck3zrFyjGfbDnKa, 2QBbuxvkFQwC9XASxnZsHtNjAFFmAZXFmtfiphWtq98MRHykdNXHxzLFRUV9YXuZm3GfknrjE2bQbiEKVyCG4P8F, 4gZ2w3xefStqSgmLhW9bWCYYJumHfnASkYQ1E19P5hPEXdvPSB2PpQnSRRjdxQWR8qRoSDS8dYQiErLxvUGFXonj"
3h65MmPZksoKKyEpEjnWU2Yk2iYT5oZDNitGy5cTaxoE,EZnKmc92jKNw1QKpLgMWdP2BP2NqFyz7B2VAzvnzbonk,-100.05,-0.0023,6.7235,5.005e-07,"Partially sold, holding 4160287.7556 tokens","y6jZzSNBRV8uFBmZeRPK2DxmXNMPco8BSbCTKy8rcP6wQuqxpaeZeNDoYadsvsBEsZn4PZSVuCvUM4K1H5J9X9k, 4f6VfBWu3JRyZnEv7L1JoT7DpRHdNWLtc2HKEF4Emky5JcTgJMeXuXukKhVLD53h2ee8fXNwEg3bMZQmdzGFEb4F, 5JMMtxuzZyaWkpgABAz9pAH5GzaaHiYK3833cyF5ka2QXmY8vtZrYkioohqhTTfTjDGYCQMpsLDp7scxG7NJ6Q4g, 3oYjBEcfr4fpXZBpesCgrYdrpez3UCm4d9vyeZJdkJ538oxYazVcvNpBmMzZ21UdiGTa167LURUawGKN8sEgfQUp, 5WR6RtR4N3Bv1oSfk2FULFQwfjukmMfoRSMxCqxWwvWrNGD31N9JjAzishHjrLZT2f3r8bavUYFQC6k7bwBaRbao, 4C2WidBZytQgGjYZWaLSwuFnCx5twwcpX1FBqLYTjEvikJXqEKjjj5C6Eq2AJE5RGdEd4Z3X1FRWDAgK5B376Btp, 4PEcsDsiPwoX8ic7xTAvGQbU3EzyXZjZnxoNnuhsX2jDGJReaRvWkM6h6J7Ud2kGyEjRGr5VzPug2SbfnbeY1m4N, 2yestYj8JngmP3UitT2hqAXWszVNTVyTMnQGqD2DfcJVFQoMZNHGrVFU4D1fE8sFaiVhzFGJHaRFMME5s3cdgrR3, pvPHru9MyjcyVJtQYqawuQ2DWz9eiSu6pRFtrt11L9fGKULdHuUo27rgGV8ZNotJ8jQqyCbmEJq9YdorxXLqqRb","2rvHkVoVjwFqrcJP5tzJ8nseTXVoWWuioKhJotFF7QPJ6Qui3ZGQTdkukuzk861d5ceuWpsLSyJdXZePRo8RsVDj, 3PTxoyKhj4gLjWLd9GetfSHr3ZU6DyaUhpJmg9JGkPatmopsPXD9jctLpa8agV4S41EdhuyTHZbxrdjXq7TJvcJj"
FMrLCzfeRZLiawdoj7PRiAyo3kwbYWJ7XWQXgxmeHr8w,EZnKmc92jKNw1QKpLgMWdP2BP2NqFyz7B2VAzvnzbonk,-0.3,3.0009,3.01,5.591e-07,Sold,49cKj1Vtdh7E3MFGZku9yUvdfRb8nxVwWESXjb7z1ae7G9oiXHKDD23RV4VhCJxrpBdQxUnKqGgkxqcB1XBMSkEg,4HFiBtfyLL8cQ71DX7Vp6EdcY7Apo5mA7eMqsNxqX2TgN1fNN5XXcmFWih79TCh6A6NEjSuNEQKk4VNjtSgqia4r
